
ignore,CustomerName,CustomerID,OrderDate,OrderID,OrderTotal,Phone
0,Park & Shop Convenience Stores,5,2022-01-01,1,1815.0,251-655-2909
1,Park & Shop Convenience Stores,5,2022-01-01,1,1815.0,251-655-2909
2,Park & Shop Convenience Stores,5,2022-01-01,1,1815.0,251-655-2909
3,Park & Shop Convenience Stores,5,2022-01-01,1,1815.0,251-655-2909
4,Park & Shop Convenience Stores,5,2022-01-02,2,964.0,251-655-2909
5,Park & Shop Convenience Stores,5,2022-01-02,2,964.0,251-655-2909
6,ABC Groceries,2,2022-01-04,3,2238.0,801-583-8695
7,ABC Groceries,2,2022-01-04,3,2238.0,801-583-8695
8,ABC Groceries,2,2022-01-04,3,2238.0,801-583-8695
9,ABC Groceries,2,2022-01-04,3,2238.0,801-583-8695
10,ABC Groceries,2,2022-01-04,3,2238.0,801-583-8695
11,Tres Delicious,1,2022-01-06,4,737.0,999-999-9999
12,Tres Delicious,1,2022-01-06,4,737.0,999-999-9999
13,Tres Delicious,1,2022-01-06,4,737.0,999-999-9999
14,Tres Delicious,1,2022-01-06,4,737.0,999-999-9999
15,Wholesome Foods,4,2022-01-09,5,569.0,347-789-7688
16,Wholesome Foods,4,2022-01-09,5,569.0,347-789-7688
17,Wholesome Foods,4,2022-01-09,5,569.0,347-789-7688
18,Wholesome Foods,4,2022-01-09,6,1586.0,347-789-7688
19,Wholesome Foods,4,2022-01-09,6,1586.0,347-789-7688
20,Wholesome Foods,4,2022-01-09,6,1586.0,347-789-7688
21,Wholesome Foods,4,2022-01-09,7,210.0,347-789-7688
22,Park & Shop Convenience Stores,5,2022-01-11,8,2424.0,251-655-2909
23,Park & Shop Convenience Stores,5,2022-01-11,8,2424.0,251-655-2909
24,Park & Shop Convenience Stores,5,2022-01-11,8,2424.0,251-655-2909
25,Park & Shop Convenience Stores,5,2022-01-11,8,2424.0,251-655-2909
26,Park & Shop Convenience Stores,5,2022-01-11,8,2424.0,251-655-2909
27,ABC Groceries,2,2022-01-13,9,1982.0,801-583-8695
28,ABC Groceries,2,2022-01-13,9,1982.0,801-583-8695
29,ABC Groceries,2,2022-01-13,9,1982.0,801-583-8695
30,ABC Groceries,2,2022-01-13,9,1982.0,801-583-8695
31,Wholesome Foods,4,2022-01-13,10,39.0,347-789-7688
32,Park & Shop Convenience Stores,5,2022-01-15,11,1383.0,251-655-2909
33,Park & Shop Convenience Stores,5,2022-01-15,11,1383.0,251-655-2909
34,Park & Shop Convenience Stores,5,2022-01-15,11,1383.0,251-655-2909
35,Tres Delicious,1,2022-01-19,12,1680.0,999-999-9999
36,Tres Delicious,1,2022-01-19,12,1680.0,999-999-9999
37,Tres Delicious,1,2022-01-19,12,1680.0,999-999-9999
38,ACME Bites,3,2022-01-20,13,3293.0,920-419-6270
39,ACME Bites,3,2022-01-20,13,3293.0,920-419-6270
40,ACME Bites,3,2022-01-20,13,3293.0,920-419-6270
41,ACME Bites,3,2022-01-20,13,3293.0,920-419-6270
42,Tres Delicious,1,2022-01-21,14,773.0,999-999-9999
43,Tres Delicious,1,2022-01-21,14,773.0,999-999-9999
44,Tres Delicious,1,2022-01-21,14,773.0,999-999-9999
45,ACME Bites,3,2022-01-21,15,1093.0,920-419-6270
46,ACME Bites,3,2022-01-21,15,1093.0,920-419-6270
47,ACME Bites,3,2022-01-21,15,1093.0,920-419-6270
48,ACME Bites,3,2022-01-21,15,1093.0,920-419-6270
49,ABC Groceries,2,2022-01-21,16,998.0,801-583-8695
50,ABC Groceries,2,2022-01-21,16,998.0,801-583-8695
51,ACME Bites,3,2022-01-23,17,912.0,920-419-6270
52,ACME Bites,3,2022-01-23,17,912.0,920-419-6270
53,Wholesome Foods,4,2022-01-24,18,915.0,347-789-7688
54,ABC Groceries,2,2022-01-27,19,1410.0,801-583-8695
55,ABC Groceries,2,2022-02-01,20,1955.0,801-583-8695
56,ABC Groceries,2,2022-02-01,20,1955.0,801-583-8695
57,Park & Shop Convenience Stores,5,2022-02-05,21,74.0,251-655-2909
58,Wholesome Foods,4,2022-02-05,22,1744.0,347-789-7688
59,Wholesome Foods,4,2022-02-05,22,1744.0,347-789-7688
60,Wholesome Foods,4,2022-02-05,22,1744.0,347-789-7688
61,ABC Groceries,2,2022-02-06,23,1776.0,801-583-8695
62,ABC Groceries,2,2022-02-06,23,1776.0,801-583-8695
63,ABC Groceries,2,2022-02-06,23,1776.0,801-583-8695
64,ACME Bites,3,2022-02-06,24,1829.0,920-419-6270
65,ACME Bites,3,2022-02-06,24,1829.0,920-419-6270
66,ACME Bites,3,2022-02-06,24,1829.0,920-419-6270
